ID,Translation,prompt,response,prompt_no,binary_score,weight_score
Al-en-32,What is the main dish for Thanksgiving in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the main dish for Thanksgiving in China?
答案：",<extra_id_0>,inst-4,,
Al-en-33,What do people do to celebrate Halloween in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people do to celebrate Halloween in China?
答案：",<extra_id_0>,inst-4,,
Al-en-34,What do people do to celebrate New Year's Day in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people do to celebrate New Year's Day in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-35,What do people do to celebrate Christmas in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people do to celebrate Christmas in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-36,What food is associated with Halloween in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What food is associated with Halloween in China?
答案：",<extra_id_0>,inst-4,,
Al-en-37,What food is associated with Christmas in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What food is associated with Christmas in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-38,What food is associated with Valentine's day in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What food is associated with Valentine's day in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-39,What do people eat on their birthday in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people eat on their birthday in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a popular outdoor place for families to have fun with little kids in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-43,What is a popular indoor activity for families in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a popular indoor activity for families in China?
答案：",<extra_id_0>,inst-4,0,0
An-ar-02,Where do university students have lunch in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Where do university students have lunch in China?
答案：",<extra_id_0>,inst-4,0,0
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.)
答案：",<extra_id_0>.,inst-4,0,0
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
答案：",<extra_id_0>.,inst-4,0,0
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)
答案：",<extra_id_0>.,inst-4,0,0
An-ar-34,What is the most popular sport played in a team at school in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular sport played in a team at school in China?
答案：",<extra_id_0>,inst-4,0,0
An-ar-35,Who is the most popular sport commentator in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Who is the most popular sport commentator in China?
答案：",<extra_id_0>,inst-4,,
An-ar-36,What is the most popular sport team in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular sport team in China?
答案：",<extra_id_0>,inst-4,0,0
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What are the common places or venues where individuals in China usually gather to watch sports broadcasts?
答案：",<extra_id_0>?,inst-4,0,0
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-06,Which is the most important meal of the day to people from China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which is the most important meal of the day to people from China?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-08,What is the most common ingredient used in China's diet?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most common ingredient used in China's diet?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-09,What do people from China usually eat for dessert?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people from China usually eat for dessert?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which day of the week do people usually organize a family meal in China?
答案：",<extra_id_0>,inst-4,,
Ca-sp-14,Which is the most popular hot drink in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which is the most popular hot drink in China?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-19,What do young people from China usually drink at the night club?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do young people from China usually drink at the night club?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),"阅读以下问题并仅提供一个答案，无需任何解释。

问题：At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.)
答案：",<extra_id_0>.,inst-4,0,0
Ca-sp-29,What tradition is there in China for New Year's Eve?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What tradition is there in China for New Year's Eve?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-38,Which is the typical type of house for a family in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which is the typical type of house for a family in China?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-41,Where do the dependent elderly usually live in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Where do the dependent elderly usually live in China?
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
答案：",<extra_id_0>,inst-4,0,0
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
答案：",<extra_id_0>,inst-4,,
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What type of destination is commonly chosen for a family vacation in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-05,What sports do seniors like the most in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sports do seniors like the most in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-06,What sports do men like to play the most in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sports do men like to play the most in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-07,Who is the most famous basketball player in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Who is the most famous basketball player in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-08,What is the most popular sports among children in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular sports among children in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-09,What sports do women like to play the most in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sports do women like to play the most in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sports event has China won the most gold medals at the Olympics?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-15,What sports do male students in university like to play the most in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sports do male students in university like to play the most in China?
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>.,inst-4,0,0
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>.,inst-4,0,0
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>.,inst-4,0,0
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>,inst-4,0,0
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
答案：",<extra_id_0>.,inst-4,0,0
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>?,inst-4,1,1.0
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What day of the week do people in China prefer to have company dinners?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-03,Which region/city has the highest number of financial companies in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which region/city has the highest number of financial companies in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-07,What is the most famous private company in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most famous private company in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-09,What do people typically eat during company get-together in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people typically eat during company get-together in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-14,What is the representative export item of China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the representative export item of China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
答案：",<extra_id_0>.,inst-4,0,0
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Where do mothers stay for a certain period after childbirth for recovery in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is China's most commonly given flower on Parents' Day?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-22,What do people especially spend their first salary on in China's society?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people especially spend their first salary on in China's society?
答案：",<extra_id_0>?,inst-4,0,0
Ji-ko-24,What is the most preferred recreational facility among children in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most preferred recreational facility among children in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-25,What are the family-related holidays in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What are the family-related holidays in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What are the key milestones associated with children's independence from their parents in China's society?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the common gift you give when visiting elderly parents in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：When is the first day that people celebrate after a child is born in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which age's birthday is celebrated the most grandly in China's society?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-31,Where do middle and high school students in China usually study for exams?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Where do middle and high school students in China usually study for exams?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-33,Where do high school students in China usually go after dinner?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Where do high school students in China usually go after dinner?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-34,How do elementary school students in China go to school?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：How do elementary school students in China go to school?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-35,What is the most common form of private education in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most common form of private education in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which subject’s academy/private educational institute do middle or high students most frequently attend in China?
答案：",<extra_id_0>?,inst-4,0,0
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What type of clothing do middle and high school students wear to school in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which major is considered the most difficult to gain admission to in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most commonly learned musical instrument by elementary school students in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-40,What do high school students typically do during break time in schools in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do high school students typically do during break time in schools in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-41,What kind of shoes do students wear in schools in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What kind of shoes do students wear in schools in China?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-42,What are the required subjects in China's university entrance exam?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What are the required subjects in China's university entrance exam?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which region (within a city) in China has the highest academic fervor?
答案：",<extra_id_0>,inst-4,0,0
Ji-ko-45,What do people look forward to the most at university festivals in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What do people look forward to the most at university festivals in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-01,What is the second most popular sport in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the second most popular sport in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-02,What is the most popular sport played without a ball in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular sport played without a ball in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-09,What sports are most associated with the upper class in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sports are most associated with the upper class in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-13,What is the most popular water sport in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular water sport in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-14,What is the most popular mental sport in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular mental sport in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>.,inst-4,0,0
Jo-sp-19,What region in China has been traditionally associated with agriculture?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What region in China has been traditionally associated with agriculture?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
答案：",<extra_id_0>.,inst-4,0,0
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
答案：",<extra_id_0>.,inst-4,0,0
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What sport do elementary school students tend to practice at school in China?
答案：",<extra_id_0>,inst-4,0,0
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
答案：",<extra_id_0>.,inst-4,0,0
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
答案：",<extra_id_0>.,inst-4,0,0
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
答案：",<extra_id_0>.,inst-4,0,0
