ID,Translation,prompt,response,prompt_no,binary_score,weight_score
Ca-sp-08,What is the most common ingredient used in Mexico's diet?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is the most common ingredient used in Mexico's diet?
Respuesta:",Corn (maize),inst-4,1,1.0
Ca-sp-09,What do people from Mexico usually eat for dessert?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What do people from Mexico usually eat for dessert?
Respuesta:",Churros,inst-4,0,0
Ca-sp-11,Which day of the week do people usually organize a family meal in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: Which day of the week do people usually organize a family meal in Mexico?
Respuesta:",Domingo,inst-4,1,1.0
Ca-sp-14,Which is the most popular hot drink in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: Which is the most popular hot drink in Mexico?
Respuesta:",Tequila,inst-4,0,0
Ca-sp-19,What do young people from Mexico usually drink at the night club?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What do young people from Mexico usually drink at the night club?
Respuesta:",Cerveza,inst-4,1,1.0
Ca-sp-21,At which month do people usually take holidays in Mexico? (Provide Arabic numerals (1~12) only.),"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: At which month do people usually take holidays in Mexico? (Provide Arabic numerals (1~12) only.)
Respuesta:",10,inst-4,0,0
Ca-sp-29,What tradition is there in Mexico for New Year's Eve?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What tradition is there in Mexico for New Year's Eve?
Respuesta:","Tradición en México para el fin de año: la celebración de la ""La Noche de San Juan"" el 23 de junio antes del Año Nuevo.",inst-4,0,0
Ca-sp-38,Which is the typical type of house for a family in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: Which is the typical type of house for a family in Mexico?
Respuesta:","Typical type of house for a family in Mexico can vary widely depending on region and socioeconomic factors, but some common examples include casas coloniales (colonial-style houses), ranchos, and casas rurales (rural houses). However, without more specific context, it's challenging to provide a single, definitive answer.",inst-4,0,0
Ca-sp-41,Where do the dependent elderly usually live in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: Where do the dependent elderly usually live in Mexico?
Respuesta:",Hospitales y residencias de ancianos (cuidados paliativos o residencias terciarias).,inst-4,0,0
Ca-sp-42,"How long (in weeks) is Mexico's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: How long (in weeks) is Mexico's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
Respuesta:",16,inst-4,0,0
Ca-sp-43,"How long (in weeks) is Mexico's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: How long (in weeks) is Mexico's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
Respuesta:",4,inst-4,0,0
Ca-sp-45,What type of destination is commonly chosen for a family vacation in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What type of destination is commonly chosen for a family vacation in Mexico?
Respuesta:",Beach resort destinations,inst-4,1,0.6666666666666666
Gu-ch-05,What sports do seniors like the most in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What sports do seniors like the most in Mexico?
Respuesta:",Basketball,inst-4,0,0
Gu-ch-06,What sports do men like to play the most in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What sports do men like to play the most in Mexico?
Respuesta:",Fútbol,inst-4,1,1.0
Gu-ch-07,Who is the most famous basketball player in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: Who is the most famous basketball player in Mexico?
Respuesta:","Luis Miguel Ángel Villar ""Lupe"" González",inst-4,,
Gu-ch-08,What is the most popular sports among children in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is the most popular sports among children in Mexico?
Respuesta:",Fútbol,inst-4,1,1.0
Gu-ch-09,What sports do women like to play the most in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What sports do women like to play the most in Mexico?
Respuesta:",Basketball,inst-4,1,0.25
Gu-ch-11,What sports event has Mexico won the most gold medals at the Olympics?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What sports event has Mexico won the most gold medals at the Olympics?
Respuesta:",Boxing,inst-4,1,0.5
Gu-ch-15,What sports do male students in university like to play the most in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What sports do male students in university like to play the most in Mexico?
Respuesta:",Fútbol,inst-4,1,1.0
